n,r,m
"(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})","[:SEMANTIC_REL {predicate: window1 beside poster2, source_label: window, edge_id: 115, describe: window window beside poster sign, edge_type: static-static, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})","[:SEMANTIC_REL {predicate: window1 showing man2, source_label: window, edge_id: 113, describe: window window showing man player, edge_type: static-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})","[:SEMANTIC_REL {predicate: window1 showing man4, source_label: window, edge_id: 114, describe: window showing man, edge_type: static-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: water bottle1 close to sign2, source_label: sign, edge_id: 25, describe: water bottle close to sign, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: window1 beside poster2, source_label: sign, edge_id: 140, describe: sign window beside poster window, edge_type: static-static, valid_at: 1, target_label: window}]","(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: man2 sit near poster2, source_label: sign, edge_id: 141, describe: sign man sit near poster player, edge_type: static-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: sign2 near door1, source_label: sign, edge_id: 21, describe: sign near door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: man2 stands before sign2, source_label: sign, edge_id: 22, describe: man stands before sign, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: sign2 over door2, source_label: sign, edge_id: 19, describe: sign over door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: water bottle2 below sign2, source_label: sign, edge_id: 24, describe: water bottle below sign, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: sign2 adjacent to window2, source_label: sign, edge_id: 23, describe: sign adjacent to window, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: advertisement beside sign2, source_label: sign, edge_id: 18, describe: advertisement beside sign, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})","[:SEMANTIC_REL {predicate: sign2 near staircase, source_label: sign, edge_id: 20, describe: sign sign near staircase steps, edge_type: static-static, valid_at: 0, target_label: steps}]","(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: poster1 being observed by man3, source_label: player, edge_id: 126, describe: player poster being observed by man sign, edge_type: static-dynamic, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: sign1 visible to player1, source_label: player, edge_id: 32, describe: sign visible to player, edge_type: static-dynamic, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: player1 face towards man1, source_label: player, edge_id: 33, describe: player face towards man, invalid_at: 1, edge_type: dynamic-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: man1 face away from man3, source_label: player, edge_id: 128, describe: player man face away from man man, edge_type: dynamic-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: window1 showing man2, source_label: player, edge_id: 123, describe: player window showing man window, edge_type: static-dynamic, valid_at: 1, target_label: window}]","(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: man2 sit near poster2, source_label: player, edge_id: 120, describe: player man sit near poster sign, edge_type: static-dynamic, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: player1 facing basketball hoop, source_label: player, edge_id: 29, describe: player facing basketball hoop, edge_type: static-dynamic, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: man3 stand near basketball hoop, source_label: player, edge_id: 129, describe: player man stand near basketball hoop basketball hoop, edge_type: static-dynamic, valid_at: 1, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: man4 beside man2, source_label: player, edge_id: 119, describe: player man beside man man, edge_type: dynamic-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: player1 stand near banner, source_label: player, edge_id: 27, describe: player stand near banner, edge_type: static-dynamic, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: man3 wear jersey with number from banner, source_label: player, edge_id: 127, describe: player man wear jersey with number from banner banner, edge_type: static-dynamic, valid_at: 1, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: logo on player1 jersey, source_label: player, edge_id: 28, describe: logo on player jersey, edge_type: static-dynamic, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: floor beneath player1, source_label: player, edge_id: 26, describe: floor beneath player, edge_type: static-dynamic, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: player1 within court lines, source_label: player, edge_id: 30, describe: player player within court lines floor, edge_type: static-dynamic, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: player1 approaching staircase, source_label: player, edge_id: 31, describe: player player approaching staircase steps, edge_type: static-dynamic, valid_at: 0, target_label: steps}]","(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: pants2 worn by man2, source_label: player, edge_id: 121, describe: player pants worn by man player, edge_type: dynamic-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})","[:SEMANTIC_REL {predicate: t - shirt3 worn by man2, source_label: player, edge_id: 122, describe: player t - shirt worn by man player, edge_type: dynamic-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: sign1 near basketball hoop, source_label: basketball hoop, edge_id: 40, describe: sign near basketball hoop, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: basketball hoop behind man1, source_label: basketball hoop, edge_id: 39, describe: basketball hoop behind man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: man1 aim at basketball hoop, source_label: basketball hoop, edge_id: 118, describe: man aim at basketball hoop, edge_type: static-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: player1 facing basketball hoop, source_label: basketball hoop, edge_id: 38, describe: player facing basketball hoop, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: man3 stand near basketball hoop, source_label: basketball hoop, edge_id: 116, describe: basketball hoop man stand near basketball hoop player, edge_type: static-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: banner below basketball hoop, source_label: basketball hoop, edge_id: 36, describe: banner below basketball hoop, edge_type: static-static, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: basketball hoop attached to backboard, source_label: basketball hoop, edge_id: 117, describe: basketball hoop basketball hoop attached to backboard banner, edge_type: static-static, valid_at: 1, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: logo over basketball hoop, source_label: basketball hoop, edge_id: 37, describe: logo over basketball hoop, edge_type: static-static, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: floor below basketball hoop, source_label: basketball hoop, edge_id: 34, describe: floor below basketball hoop, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})","[:SEMANTIC_REL {predicate: basketball hoop within boundaries of court lines, source_label: basketball hoop, edge_id: 35, describe: basketball hoop basketball hoop within boundaries of court lines floor, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: sign2 near door1, source_label: door, edge_id: 45, describe: sign near door, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: poster2 beside door, source_label: door, edge_id: 125, describe: door poster beside door sign, edge_type: static-static, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: man2 approach door1, source_label: door, edge_id: 44, describe: man approach door, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: man4 stands before door, source_label: door, edge_id: 124, describe: man stands before door, edge_type: static-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: door1 adjacent to door2, source_label: door, edge_id: 43, describe: door adjacent to door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: door1 and window2 adjacent, source_label: door, edge_id: 42, describe: door and window adjacent, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})","[:SEMANTIC_REL {predicate: advertisement is adjacent to door1, source_label: door, edge_id: 41, describe: advertisement is adjacent to door, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: window1 showing man4, source_label: man, edge_id: 130, describe: window showing man, edge_type: static-dynamic, valid_at: 1, target_label: window}]","(:EntityNode {entity_type: static, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 4})"
